method,query_idx,retrieved_idx,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20,morgan_tanimoto,query_inchikey,retrieved_inchikey
CGP-Align,385,1828,1,0.9378374814987184,0.4910835325717926,50,30,0.4285714285714285,4.2070915821666967e-57,56.37601803393101,5,3,MAPK/RTK:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1,NSC-697923,stattic,ubiquitin-conjugating enzyme inhibitor,,UBE2N,,,,NCKIPSD;CTNNB1;CELF6;IFNA6;AMD1;IFNA2;IFNA1;CARD9;MDM2;IFNA5;TNPO1;CNKSR1;KCTD6;IFNA13;IFNA8;IFNA14;MAP3K11;FANCC;ARAF;MYD88,0.183673471212387,GAUHIPWCDXOLCZ-UHFFFAOYSA-N,ZRRGOUHITGRLBA-UHFFFAOYSA-N
CGP-Align,385,1828,1,0.9378374814987184,0.4910835325717926,50,30,0.4285714285714285,4.2070915821666967e-57,56.37601803393101,5,3,MAPK/RTK:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1,stattic,NSC-697923,,ubiquitin-conjugating enzyme inhibitor,UBE2N,,,,NCKIPSD;CTNNB1;CELF6;IFNA6;AMD1;IFNA2;IFNA1;CARD9;MDM2;IFNA5;TNPO1;CNKSR1;KCTD6;IFNA13;IFNA8;IFNA14;MAP3K11;FANCC;ARAF;MYD88,0.183673471212387,ZRRGOUHITGRLBA-UHFFFAOYSA-N,GAUHIPWCDXOLCZ-UHFFFAOYSA-N
CGP-Align,33,1186,1,0.895605206489563,0.397073358297348,50,30,0.4285714285714285,4.2070915821666967e-57,56.37601803393101,8,6,Cell cycle/mitosis:3; Epigenetic/chromatin:1; MAPK/RTK:1; Microtubule:1,torin-1,LY2801653,mTOR inhibitor,MET inhibitor,MTOR,MET,MTOR,,CHN2;CDC25A;TAGAP;REV3L;POLQ;DDX56;PRPF8;SYT11;RUNX3;CSNK1D;CISH;SOCS3;MED14;STAG1;CHD6;EHMT1;AFF3;CDK17;SOCS6;E2F4,0.1735537201166153,AKCRNFFTGXBONI-UHFFFAOYSA-N,QHADVLVFMKEIIP-UHFFFAOYSA-N
CGP-Align,1428,580,1,0.8095092177391052,0.5240882039070129,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,3,3,Cell cycle/mitosis:1; Lipid/transport state:1; Nuclear receptor/xenobiotic:1,SC-144,broxaldine,P glycoprotein inhibitor,,,,,,ABCC8;THPO;IFNL1;GPRC6A;IFNA1;IFNA6;FRMD6;IFNA2;IFNA13;IFNL3;CCNA1;GTF2H5;EPO;ARAP3;TNFAIP8L2;IFNL2;XPO1;IL3;MYD88;IFNA5,0.1111111119389534,UEADAWQSJOWXBK-UHFFFAOYSA-N,IJTPLVAAROHGGB-UHFFFAOYSA-N
CGP-Align,83,1189,1,0.8183527588844299,0.4978319406509399,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,6,3,Cell cycle/mitosis:3; Nuclear receptor/xenobiotic:2; PI3K/AKT/mTOR:1,genz-644282,NMS-1286937,topoisomerase inhibitor,PLK inhibitor,TOP1,"FLT3, PLK1, PLK2, PLK3",,,CHN2;DDX56;TRRAP;WRN;MED14;CISH;PI4KA;SOCS2;REV3L;MDM2;AFF3;ARHGEF26;CCNT1;SYT4;CDC25A;POLQ;HS1BP3;RACGAP1;MTOR;ARHGEF16,0.1071428582072258,BAORCAMWLWRZQG-UHFFFAOYSA-N,QHLVBNKYJGBCQJ-UHFFFAOYSA-N
CGP-Align,1269,641,1,0.8496540784835815,0.4846793413162231,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,7,5,Nuclear receptor/xenobiotic:2; PI3K/AKT/mTOR:2; Cell cycle/mitosis:1; Microtubule:1,voxtalisib,PIK-93,"mTOR inhibitor, PI3K inhibitor",PI3K inhibitor,"PI4KB, PIK3C3, PIK3CG","MTOR, PIK3CA",MTOR,MTOR,RUNX3;AFF3;CHN2;PIK3R3;REV3L;MED14;AFF1;RUNX1;RUNX2;WWTR1;MTOR;SOCS3;TAF1;PSMD7;CAND1;VGLL4;CCNT1;RPA1;MED13;ZFP36,0.1428571492433548,RGHYDLZMTYDBDT-UHFFFAOYSA-N,JFVNFXCESCXMBC-UHFFFAOYSA-N
CGP-Align,1285,1854,1,0.8593038320541382,0.402028352022171,50,27,0.3698630136986301,3.636436345798233e-49,48.43932401015787,1,1,DNA damage/repair:1,cetrimonium,NH125,,eukaryotic translation elongation factor 2 inhibitor,,,,,CHN2;MAT1A;SRC;EEF1A1;NF2;FRMD6;RDX;EZR;VGLL4;MSN;RACGAP1;E2F5;MYBL2;BRCA2;BLK;RNF19A;MDM2;E2F4;PPP1R3C;MAT2A,0.190476194024086,RLGQACBPNDBWTB-UHFFFAOYSA-N,ZZXUNAFAKNKXFW-UHFFFAOYSA-N
CGP-Align,1285,1854,1,0.8593038320541382,0.402028352022171,50,27,0.3698630136986301,3.636436345798233e-49,48.43932401015787,1,1,DNA damage/repair:1,NH125,cetrimonium,eukaryotic translation elongation factor 2 inhibitor,,,,,,CHN2;MAT1A;SRC;EEF1A1;NF2;FRMD6;RDX;EZR;VGLL4;MSN;RACGAP1;E2F5;MYBL2;BRCA2;BLK;RNF19A;MDM2;E2F4;PPP1R3C;MAT2A,0.190476194024086,ZZXUNAFAKNKXFW-UHFFFAOYSA-N,RLGQACBPNDBWTB-UHFFFAOYSA-N
CGP-Align,1754,195,1,0.7685510516166687,0.5614307522773743,50,26,0.3513513513513513,1.256351603930026e-46,45.90088880146085,10,5,Proteostasis:3; Cell cycle/mitosis:2; DNA damage/repair:2; Nuclear receptor/xenobiotic:2,parbendazole,VU0238429,tubulin polymerization inhibitor,acetylcholine receptor allosteric modulator,CHRM5,TUBB,,,KIF11;MDM2;BTK;RASGRF1;TNPO1;PSMB6;ARAP3;WEE1;PLEK;CDC42EP3;PRPF8;ITK;GRB7;HMMR;ATRIP;ARHGEF26;SIK3;GTF2I;MAD2L2;TRRAP,0.1617647111415863,YRWLZFXJFBZBEY-UHFFFAOYSA-N,CKLGZXFOLMHCMC-UHFFFAOYSA-N
CGP-Align,195,1060,1,0.7908244729042053,0.5061086416244507,50,26,0.3513513513513513,1.256351603930026e-46,45.90088880146085,9,5,Cell cycle/mitosis:2; DNA damage/repair:2; Nuclear receptor/xenobiotic:2; Proteostasis:2,VU0238429,mebendazole,acetylcholine receptor allosteric modulator,tubulin polymerization inhibitor,CHRM5,"TUBA1A, TUBB, TUBB4B",,,KIF11;MDM2;WEE1;RASGRF1;BTK;ARAP3;PSMB6;PRPF8;TNPO1;MED1;CHN2;MAD2L2;HMMR;RACGAP1;ATAD2;PSMC6;ITK;ARHGEF26;CDC42EP3;GTF2I,0.1142857149243354,CKLGZXFOLMHCMC-UHFFFAOYSA-N,OPXLLQIJSORQAM-UHFFFAOYSA-N
CGP-Align,195,1060,1,0.7908244729042053,0.5061086416244507,50,26,0.3513513513513513,1.256351603930026e-46,45.90088880146085,9,5,Cell cycle/mitosis:2; DNA damage/repair:2; Nuclear receptor/xenobiotic:2; Proteostasis:2,mebendazole,VU0238429,tubulin polymerization inhibitor,acetylcholine receptor allosteric modulator,CHRM5,"TUBA1A, TUBB, TUBB4B",,,KIF11;MDM2;WEE1;RASGRF1;BTK;ARAP3;PSMB6;PRPF8;TNPO1;MED1;CHN2;MAD2L2;HMMR;RACGAP1;ATAD2;PSMC6;ITK;ARHGEF26;CDC42EP3;GTF2I,0.1142857149243354,OPXLLQIJSORQAM-UHFFFAOYSA-N,CKLGZXFOLMHCMC-UHFFFAOYSA-N
CGP-Align,794,1241,1,0.7838197946548462,0.4477426707744598,50,26,0.3513513513513513,1.256351603930026e-46,45.90088880146085,8,6,MAPK/RTK:2; Proteostasis:2; Cell cycle/mitosis:1; DNA damage/repair:1,nocodazole,BNC105,tubulin polymerization inhibitor,tubulin polymerization inhibitor,HPGDS,,,,KIF11;MDM2;BTK;WEE1;TNPO1;PRPF8;RACGAP1;MED1;RASGRF1;ITK;ARAP3;MAP3K2;MED14;CSK;AFF3;CHN2;BMX;GRB7;ELAC1;MAD2L2,0.1739130467176437,KYRVNWMVYQXFEU-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
CGP-Align,794,1241,1,0.7838197946548462,0.4477426707744598,50,26,0.3513513513513513,1.256351603930026e-46,45.90088880146085,8,6,MAPK/RTK:2; Proteostasis:2; Cell cycle/mitosis:1; DNA damage/repair:1,BNC105,nocodazole,tubulin polymerization inhibitor,tubulin polymerization inhibitor,HPGDS,,,,KIF11;MDM2;BTK;WEE1;TNPO1;PRPF8;RACGAP1;MED1;RASGRF1;ITK;ARAP3;MAP3K2;MED14;CSK;AFF3;CHN2;BMX;GRB7;ELAC1;MAD2L2,0.1739130467176437,RADMJHVVIZTENA-UHFFFAOYSA-N,KYRVNWMVYQXFEU-UHFFFAOYSA-N
CGP-Align,514,1119,1,0.7758414149284363,0.3723987638950348,50,26,0.3513513513513513,1.256351603930026e-46,45.90088880146085,6,3,Cell cycle/mitosis:3; DNA damage/repair:2; Nuclear receptor/xenobiotic:1,mocetinostat,CUDC-101,HDAC inhibitor,EGFR inhibitor,"HDAC1, HDAC11, HDAC2, HDAC3","EGFR, ERBB2",,,CHN2;REV3L;CDC25A;POLQ;SOCS6;WRN;BRCA2;ARHGEF26;CCNA1;SYT11;UBTF;TAGAP;FBXO5;CDC42EP3;CISH;WEE1;SGK3;RACGAP1;PI4KA;MED13,0.0943396240472793,HRNLUBSXIHFDHP-UHFFFAOYSA-N,PLIVFNIUGLLCEK-UHFFFAOYSA-N
CGP-Align,562,1300,1,0.841325581073761,0.6553443670272827,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,4,4,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1; Nuclear receptor/xenobiotic:1,D-64131,JK-184,microtubule inhibitor,hedgehog pathway inhibitor,TUBB,,,,MDM2;MAD2L2;KIF11;PTTG1;CHN2;SH3BP4;PRPF8;WEE1;SNAPC4;MED1;EIF2S2;TAX1BP3;RTN4;RASGRF1;GTF2I;HDLBP;CYP2B6;LSP1;PUM1;LBH,0.1621621549129486,ICMIJSRDISNKOC-UHFFFAOYSA-N,ROYXIPOUVGDTAO-UHFFFAOYSA-N
CGP-Align,562,1300,1,0.841325581073761,0.6553443670272827,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,4,4,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1; Nuclear receptor/xenobiotic:1,JK-184,D-64131,hedgehog pathway inhibitor,microtubule inhibitor,TUBB,,,,MDM2;MAD2L2;KIF11;PTTG1;CHN2;SH3BP4;PRPF8;WEE1;SNAPC4;MED1;EIF2S2;TAX1BP3;RTN4;RASGRF1;GTF2I;HDLBP;CYP2B6;LSP1;PUM1;LBH,0.1621621549129486,ROYXIPOUVGDTAO-UHFFFAOYSA-N,ICMIJSRDISNKOC-UHFFFAOYSA-N
CGP-Align,942,1092,1,0.848807156085968,0.3431143462657928,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,5,3,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:1; Proteostasis:1,M-344,JNJ-26481585,HDAC inhibitor,HDAC inhibitor,,"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, MDM2",MDM2,MDM2,SOCS6;ARHGEF26;FBXO5;PRPF8;EPHA4;TRRAP;HOXA2;PSMB6;NGEF;BLK;CHN2;MDM2;ARAP3;CSK;FARP2;SRC;CCNA1;LYN;PRDM2;REV3L,0.1500000059604644,MXWDSZWTBOCWBK-UHFFFAOYSA-N,PAWIYAYFNXQGAP-UHFFFAOYSA-N
CGP-Align,1787,1437,1,0.8561190962791443,0.3943718373775482,50,24,0.3157894736842105,1.0496823698947559e-41,40.978942096997415,3,2,Nuclear receptor/xenobiotic:2; Lipid/transport state:1,dasatinib,vandetanib,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor","EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","EGFR, EPHA1, EPHA10, EPHA2, EPHA3, EPHA4, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6, ERBB2, ERBB3, ERBB4, FLT1, FLT4, KDR, PTK6, RET, SRC, TEK, VEGFA","ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1",EPHA4,EPHA4,CHN2;RUNX3;TAGAP;RUNX1;RUNX2;SYT11;AFF1;SYT12;MED14;STARD8;STARD13;AFF3;MDM2;REV3L;RD3;SLC2A11;SOCS6;ASAP3;NSD1;DEF6,0.1327433586120605,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,UHTHHESEBZOYNR-UHFFFAOYSA-N
CGP-Align,806,816,1,0.7272903919219971,0.4717710316181183,50,23,0.2987012987012987,2.5463133512683163e-39,38.59408815278256,5,3,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; Microtubule:1,CD-437,crystal-violet,retinoid receptor agonist,other antibiotic,RARG,,,,CHN2;PRPF8;ARHGEF26;DDX56;TFDP2;MDM2;NGEF;TFDP1;ARHGEF16;TRRAP;REV3L;MED14;CCNA1;SGK3;HOXA2;KIF11;RACGAP1;CCNA2;E2F4;POLQ,0.1000000014901161,LDGIHZJOIQSHPB-UHFFFAOYSA-N,LGLFFNDHMLKUMI-UHFFFAOYSA-N
CGP-Align,534,1238,1,0.807223379611969,0.3748982846736908,50,22,0.282051282051282,5.50373248182237e-37,36.25934268387355,2,2,Cell cycle/mitosis:1; Epigenetic/chromatin:1,PHA-793887,barasertib-HQPA,CDK inhibitor,Aurora kinase inhibitor,"CDK1, CDK2, CDK4, CDK5, CDK7, CDK9",AURKB,,,PI4KA;HS1BP3;NCF4;WRN;SYT4;CD40;USP24;PSTPIP1;TNFRSF14;GRB7;SGK3;CHN2;SGK1;CRKL;CCNA1;TRIP10;SNX16;KDM5A;TRRAP;RFC1,0.0884955748915672,HUXYBQXJVXOMKX-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N
CGP-Align,1694,1210,1,0.8105785250663757,0.358294665813446,50,21,0.2658227848101265,1.0606796405142755e-34,33.97441576724446,4,3,DNA damage/repair:2; Cell cycle/mitosis:1; Microtubule:1,terbutaline,tipiracil,adrenergic receptor agonist,thymidine phosphorylase inhibitor,TYMP,ADRB2,,,POLQ;KSR2;PPP1R3A;GAB1;RAD52;CHN2;EIF5;PHACTR1;AXIN2;E2F4;SRA1;TOP2A;EGLN2;MSH3;REV3L;WASL;KHDRBS1;CDKN2A;WWTR1;MDM2,0.0344827584922313,XWTYSIMOBUGWOL-UHFFFAOYSA-N,QQHMKNYGKVVGCZ-UHFFFAOYSA-N
CGP-Align,543,1241,1,0.727379560470581,0.4584642946720123,50,18,0.2195121951219512,3.819985189669634e-28,27.417938320872903,4,4,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1; Nuclear receptor/xenobiotic:1,albendazole,BNC105,tubulin polymerization inhibitor,tubulin polymerization inhibitor,"TUBA1A, TUBB, TUBB4B",,,,KIF11;MDM2;TNPO1;WEE1;BTK;MED1;RACGAP1;MED14;ARAP3;MAD2L2;IRAK4;ELAC1;BMX;BUD31;GRB7;RDX;MSN;TRIM27,0.1641791015863418,HXHWSAZORRCQMX-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
CGP-Align,1245,1241,1,0.7093281745910645,0.4423142671585083,50,17,0.2048192771084337,4.650693465164187e-26,25.33248228460693,3,3,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1,oxibendazole,BNC105,tubulin polymerization inhibitor,tubulin polymerization inhibitor,,"TUBB, TUBB4B",,,KIF11;MDM2;BTK;TNPO1;MED1;MED14;PHF13;WEE1;IRAK4;RACGAP1;CSK;PRPF8;BMX;MAD2L2;BUD31;AFF3;MSN,0.1515151560306549,RAOCRURYZCVHMG-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
CGP-Align,1282,945,1,0.8355039954185486,0.4391600787639618,50,15,0.1764705882352941,4.846287989994582e-22,21.31459078154205,1,1,Nuclear receptor/xenobiotic:1,niclosamide,tyrphostin-A9,"DNA replication inhibitor, STAT inhibitor","protein tyrosine kinase inhibitor, tyrosine kinase inhibitor",,STAT3,,,ZBTB20;REV3L;TLX3;PPARGC1A;ID3;NFIA;ETV5;MIXL1;TYMS;WWTR1;ID1;KLF12;HES1;MYOD1;NKX2-5,0.0819672122597694,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,MZOPWQKISXCCTP-UHFFFAOYSA-N
CGP-Align,1128,1169,1,0.7612420916557312,0.3893680870532989,50,15,0.1764705882352941,4.846287989994582e-22,21.31459078154205,2,2,Cell cycle/mitosis:1; MAPK/RTK:1,TW-37,gossypol,BCL inhibitor,"BCL inhibitor, MCL1 inhibitor","BCL2, BCL2L1, MCL1",BCL2,,,REV3L;THPO;CCNA1;SRC;BLK;SGK3;CHN2;NANOG;NCKIPSD;MAPKAPK2;MED13;ISYNA1;PRPF8;USP10;PPP1R3C,0.1558441519737243,PQAPVTKIEGUPRN-UHFFFAOYSA-N,QBKSWRVVCFFDOT-UHFFFAOYSA-N
