query_name,query_moa,retrieved_name,retrieved_moa,rank,prism_response_corr,morgan_tanimoto,method_score,query_inchikey,retrieved_inchikey,shared_top_gene_count,dominant_categories,shared_gene_symbols_top20,pair,has_mechanism,mechanism,mechanism_group
NSC-697923,ubiquitin-conjugating enzyme inhibitor,stattic,NA,1,0.4910835325717926,0.18367347121238708,0.9378374814987184,GAUHIPWCDXOLCZ-UHFFFAOYSA-N,ZRRGOUHITGRLBA-UHFFFAOYSA-N,30,MAPK/RTK:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1,NCKIPSD;CTNNB1;CELF6;IFNA6;AMD1;IFNA2;IFNA1;CARD9;MDM2;IFNA5;TNPO1;CNKSR1;KCTD6;IFNA13;IFNA8;IFNA14;MAP3K11;FANCC;ARAF;MYD88,NSC-697923 -> stattic,TRUE,MAPK/RTK,Other annotated program
stattic,NA,NSC-697923,ubiquitin-conjugating enzyme inhibitor,1,0.4910835325717926,0.18367347121238708,0.9378374814987184,ZRRGOUHITGRLBA-UHFFFAOYSA-N,GAUHIPWCDXOLCZ-UHFFFAOYSA-N,30,MAPK/RTK:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1,NCKIPSD;CTNNB1;CELF6;IFNA6;AMD1;IFNA2;IFNA1;CARD9;MDM2;IFNA5;TNPO1;CNKSR1;KCTD6;IFNA13;IFNA8;IFNA14;MAP3K11;FANCC;ARAF;MYD88,stattic -> NSC-697923,TRUE,MAPK/RTK,Other annotated program
BIIB021,HSP inhibitor,R547,CDK inhibitor,1,0.488023579120636,0.11702127754688264,0.9149529337882996,QULDDKSCVCJTPV-UHFFFAOYSA-N,JRNJNYBQQYBCLE-UHFFFAOYSA-N,39,Nuclear receptor/xenobiotic:4; Cell cycle/mitosis:2; MAPK/RTK:2; PI3K/AKT/mTOR:1,CHN2;TRRAP;RUNX3;WRN;AFF3;DDX56;CDC25A;PI4KA;REV3L;FARP2;MAP3K2;RUNX2;CISH;SOCS2;POLQ;PIK3R3;ARHGEF26;MED14;BMPR2;AFF1,BIIB021 -> R547,TRUE,Nuclear receptor/xenobiotic,Other annotated program
voxtalisib,"mTOR inhibitor, PI3K inhibitor",PIK-93,PI3K inhibitor,1,0.48467934131622314,0.1428571492433548,0.8496540784835815,RGHYDLZMTYDBDT-UHFFFAOYSA-N,JFVNFXCESCXMBC-UHFFFAOYSA-N,29,Nuclear receptor/xenobiotic:2; PI3K/AKT/mTOR:2; Cell cycle/mitosis:1; Microtubule:1,RUNX3;AFF3;CHN2;PIK3R3;REV3L;MED14;AFF1;RUNX1;RUNX2;WWTR1;MTOR;SOCS3;TAF1;PSMD7;CAND1;VGLL4;CCNT1;RPA1;MED13;ZFP36,voxtalisib -> PIK-93,TRUE,Nuclear receptor/xenobiotic,Other annotated program
CD-437,retinoid receptor agonist,crystal-violet,other antibiotic,1,0.4717710316181183,0.10000000149011612,0.7272903919219971,LDGIHZJOIQSHPB-UHFFFAOYSA-N,LGLFFNDHMLKUMI-UHFFFAOYSA-N,23,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; Microtubule:1,CHN2;PRPF8;ARHGEF26;DDX56;TFDP2;MDM2;NGEF;TFDP1;ARHGEF16;TRRAP;REV3L;MED14;CCNA1;SGK3;HOXA2;KIF11;RACGAP1;CCNA2;E2F4;POLQ,CD-437 -> crystal-violet,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
albendazole,tubulin polymerization inhibitor,BNC105,tubulin polymerization inhibitor,1,0.45846429467201233,0.16417910158634186,0.727379560470581,HXHWSAZORRCQMX-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N,18,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1; Nuclear receptor/xenobiotic:1,KIF11;MDM2;TNPO1;WEE1;BTK;MED1;RACGAP1;MED14;ARAP3;MAD2L2;IRAK4;ELAC1;BMX;BUD31;GRB7;RDX;MSN;TRIM27,albendazole -> BNC105,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
pentamidine,anti-pneumocystis agent,EVP4593,NFkB pathway inhibitor,1,0.4574241638183594,0.14754098653793335,0.653432309627533,XDRYMKDFEDOLFX-UHFFFAOYSA-N,IBAKVEUZKHOWNG-UHFFFAOYSA-N,14,Nuclear receptor/xenobiotic:3; MAPK/RTK:2; Cell cycle/mitosis:1; Epigenetic/chromatin:1,AAAS;MAP2K2;YBX1;AURKA;MFN1;APBB3;MAP2K5;RPS6KB1;SMARCA1;STARD10;PPARGC1A;PCNA;FDFT1;TLK1,pentamidine -> EVP4593,TRUE,Nuclear receptor/xenobiotic,Other annotated program
nocodazole,tubulin polymerization inhibitor,BNC105,tubulin polymerization inhibitor,1,0.44774267077445984,0.17391304671764374,0.7838197946548462,KYRVNWMVYQXFEU-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N,26,MAPK/RTK:2; Proteostasis:2; Cell cycle/mitosis:1; DNA damage/repair:1,KIF11;MDM2;BTK;WEE1;TNPO1;PRPF8;RACGAP1;MED1;RASGRF1;ITK;ARAP3;MAP3K2;MED14;CSK;AFF3;CHN2;BMX;GRB7;ELAC1;MAD2L2,nocodazole -> BNC105,TRUE,MAPK/RTK,Other annotated program
BNC105,tubulin polymerization inhibitor,nocodazole,tubulin polymerization inhibitor,1,0.44774267077445984,0.17391304671764374,0.7838197946548462,RADMJHVVIZTENA-UHFFFAOYSA-N,KYRVNWMVYQXFEU-UHFFFAOYSA-N,26,MAPK/RTK:2; Proteostasis:2; Cell cycle/mitosis:1; DNA damage/repair:1,KIF11;MDM2;BTK;WEE1;TNPO1;PRPF8;RACGAP1;MED1;RASGRF1;ITK;ARAP3;MAP3K2;MED14;CSK;AFF3;CHN2;BMX;GRB7;ELAC1;MAD2L2,BNC105 -> nocodazole,TRUE,MAPK/RTK,Other annotated program
oxibendazole,tubulin polymerization inhibitor,BNC105,tubulin polymerization inhibitor,1,0.4423142671585083,0.1515151560306549,0.7093281745910645,RAOCRURYZCVHMG-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N,17,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1,KIF11;MDM2;BTK;TNPO1;MED1;MED14;PHF13;WEE1;IRAK4;RACGAP1;CSK;PRPF8;BMX;MAD2L2;BUD31;AFF3;MSN,oxibendazole -> BNC105,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
niclosamide,"DNA replication inhibitor, STAT inhibitor",tyrphostin-A9,"protein tyrosine kinase inhibitor, tyrosine kinase inhibitor",1,0.4391600787639618,0.08196721225976944,0.8355039954185486,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,MZOPWQKISXCCTP-UHFFFAOYSA-N,15,Nuclear receptor/xenobiotic:1,ZBTB20;REV3L;TLX3;PPARGC1A;ID3;NFIA;ETV5;MIXL1;TYMS;WWTR1;ID1;KLF12;HES1;MYOD1;NKX2-5,niclosamide -> tyrphostin-A9,TRUE,Nuclear receptor/xenobiotic,Other annotated program
methiazole,anthelmintic agent,BNC105,tubulin polymerization inhibitor,1,0.4376116991043091,0.1515151560306549,0.6995350122451782,SXJIZQPZESTWLD-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N,13,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1; Nuclear receptor/xenobiotic:1,KIF11;MDM2;TNPO1;BTK;WEE1;RACGAP1;MED1;ARAP3;MED14;IRAK4;MAD2L2;BMX;BUD31,methiazole -> BNC105,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
regorafenib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",AZ-628,RAF inhibitor,1,0.4334345757961273,0.1899999976158142,0.893276035785675,FNHKPVJBJVTLMP-UHFFFAOYSA-N,ZGBGPEDJXCYQPH-UHFFFAOYSA-N,31,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:2; DNA damage/repair:1; Epigenetic/chromatin:1,CHN2;MYBBP1A;SLC2A11;EIF2AK1;CDCA3;CDC25A;DDX56;POLQ;PSKH1;CSNK1D;GATA1;MKNK1;DYRK2;REV3L;E2F4;ARHGEF16;RIN1;GLUL;TRRAP;ARHGEF25,regorafenib -> AZ-628,TRUE,Nuclear receptor/xenobiotic,Other annotated program
AZ-628,RAF inhibitor,regorafenib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",1,0.4334345757961273,0.1899999976158142,0.893276035785675,ZGBGPEDJXCYQPH-UHFFFAOYSA-N,FNHKPVJBJVTLMP-UHFFFAOYSA-N,31,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:2; DNA damage/repair:1; Epigenetic/chromatin:1,CHN2;MYBBP1A;SLC2A11;EIF2AK1;CDCA3;CDC25A;DDX56;POLQ;PSKH1;CSNK1D;GATA1;MKNK1;DYRK2;REV3L;E2F4;ARHGEF16;RIN1;GLUL;TRRAP;ARHGEF25,AZ-628 -> regorafenib,TRUE,Nuclear receptor/xenobiotic,Other annotated program
cetrimonium,NA,NH125,eukaryotic translation elongation factor 2 inhibitor,1,0.402028352022171,0.190476194024086,0.8593038320541382,RLGQACBPNDBWTB-UHFFFAOYSA-N,ZZXUNAFAKNKXFW-UHFFFAOYSA-N,27,DNA damage/repair:1,CHN2;MAT1A;SRC;EEF1A1;NF2;FRMD6;RDX;EZR;VGLL4;MSN;RACGAP1;E2F5;MYBL2;BRCA2;BLK;RNF19A;MDM2;E2F4;PPP1R3C;MAT2A,cetrimonium -> NH125,TRUE,DNA damage/repair,Other annotated program
NH125,eukaryotic translation elongation factor 2 inhibitor,cetrimonium,NA,1,0.402028352022171,0.190476194024086,0.8593038320541382,ZZXUNAFAKNKXFW-UHFFFAOYSA-N,RLGQACBPNDBWTB-UHFFFAOYSA-N,27,DNA damage/repair:1,CHN2;MAT1A;SRC;EEF1A1;NF2;FRMD6;RDX;EZR;VGLL4;MSN;RACGAP1;E2F5;MYBL2;BRCA2;BLK;RNF19A;MDM2;E2F4;PPP1R3C;MAT2A,NH125 -> cetrimonium,TRUE,DNA damage/repair,Other annotated program
torin-1,mTOR inhibitor,LY2801653,MET inhibitor,1,0.397073358297348,0.1735537201166153,0.895605206489563,AKCRNFFTGXBONI-UHFFFAOYSA-N,QHADVLVFMKEIIP-UHFFFAOYSA-N,30,Cell cycle/mitosis:3; Epigenetic/chromatin:1; MAPK/RTK:1; Microtubule:1,CHN2;CDC25A;TAGAP;REV3L;POLQ;DDX56;PRPF8;SYT11;RUNX3;CSNK1D;CISH;SOCS3;MED14;STAG1;CHD6;EHMT1;AFF3;CDK17;SOCS6;E2F4,torin-1 -> LY2801653,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
dasatinib,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor",vandetanib,"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",1,0.3943718373775482,0.13274335861206055,0.8561190962791443,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,UHTHHESEBZOYNR-UHFFFAOYSA-N,24,Nuclear receptor/xenobiotic:2; Lipid/transport state:1,CHN2;RUNX3;TAGAP;RUNX1;RUNX2;SYT11;AFF1;SYT12;MED14;STARD8;STARD13;AFF3;MDM2;REV3L;RD3;SLC2A11;SOCS6;ASAP3;NSD1;DEF6,dasatinib -> vandetanib,TRUE,Nuclear receptor/xenobiotic,Other annotated program
TW-37,BCL inhibitor,gossypol,"BCL inhibitor, MCL1 inhibitor",1,0.38936808705329895,0.15584415197372437,0.7612420916557312,PQAPVTKIEGUPRN-UHFFFAOYSA-N,QBKSWRVVCFFDOT-UHFFFAOYSA-N,15,Cell cycle/mitosis:1; MAPK/RTK:1,REV3L;THPO;CCNA1;SRC;BLK;SGK3;CHN2;NANOG;NCKIPSD;MAPKAPK2;MED13;ISYNA1;PRPF8;USP10;PPP1R3C,TW-37 -> gossypol,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
PHA-793887,CDK inhibitor,barasertib-HQPA,Aurora kinase inhibitor,1,0.3748982846736908,0.08849557489156723,0.807223379611969,HUXYBQXJVXOMKX-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N,22,Cell cycle/mitosis:1; Epigenetic/chromatin:1,PI4KA;HS1BP3;NCF4;WRN;SYT4;CD40;USP24;PSTPIP1;TNFRSF14;GRB7;SGK3;CHN2;SGK1;CRKL;CCNA1;TRIP10;SNX16;KDM5A;TRRAP;RFC1,PHA-793887 -> barasertib-HQPA,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
mocetinostat,HDAC inhibitor,CUDC-101,EGFR inhibitor,1,0.3723987638950348,0.09433962404727936,0.7758414149284363,HRNLUBSXIHFDHP-UHFFFAOYSA-N,PLIVFNIUGLLCEK-UHFFFAOYSA-N,26,Cell cycle/mitosis:3; DNA damage/repair:2; Nuclear receptor/xenobiotic:1,CHN2;REV3L;CDC25A;POLQ;SOCS6;WRN;BRCA2;ARHGEF26;CCNA1;SYT11;UBTF;TAGAP;FBXO5;CDC42EP3;CISH;WEE1;SGK3;RACGAP1;PI4KA;MED13,mocetinostat -> CUDC-101,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
CCT129202,Aurora kinase inhibitor,PHA-848125,"CDK inhibitor, growth factor receptor inhibitor",1,0.36907827854156494,0.17757008969783783,0.8956054449081421,QYKHWEFPFAGNEV-UHFFFAOYSA-N,RXZMYLDMFYNEIM-UHFFFAOYSA-N,33,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:2; DNA damage/repair:1; MAPK/RTK:1,CHN2;SYT11;REV3L;WRN;TAGAP;POLQ;PIK3R3;DDX56;MED14;MDM2;SYT4;RACGAP1;ARHGEF16;PI4KA;ARHGEF26;CDC25A;FBXO5;BRCA2;RUNX3;SYT12,CCT129202 -> PHA-848125,TRUE,Nuclear receptor/xenobiotic,Other annotated program
TAK-632,RAF inhibitor,RAF265,"RAF inhibitor, VEGFR inhibitor",1,0.36426860094070435,0.17241379618644714,0.9017611742019652,OJFKUJDRGJSAQB-UHFFFAOYSA-N,YABJJWZLRMPFSI-UHFFFAOYSA-N,32,Cell cycle/mitosis:3; Nuclear receptor/xenobiotic:2; Lipid/transport state:1; MAPK/RTK:1,TAGAP;SOCS3;CHN2;DDX56;VGLL4;ARHGEF16;POLQ;RUNX3;REV3L;ARHGEF25;PDPK1;RUNX2;CDCA3;WRN;TRRAP;MED14;CSNK1D;MKNK1;PLK1;AURKB,TAK-632 -> RAF265,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
terbutaline,adrenergic receptor agonist,tipiracil,thymidine phosphorylase inhibitor,1,0.35829466581344604,0.03448275849223137,0.8105785250663757,XWTYSIMOBUGWOL-UHFFFAOYSA-N,QQHMKNYGKVVGCZ-UHFFFAOYSA-N,21,DNA damage/repair:2; Cell cycle/mitosis:1; Microtubule:1,POLQ;KSR2;PPP1R3A;GAB1;RAD52;CHN2;EIF5;PHACTR1;AXIN2;E2F4;SRA1;TOP2A;EGLN2;MSH3;REV3L;WASL;KHDRBS1;CDKN2A;WWTR1;MDM2,terbutaline -> tipiracil,TRUE,DNA damage/repair,Other annotated program
crystal-violet,other antibiotic,CUDC-907,PI3K inhibitor,1,0.35252290964126587,0.09302325546741486,0.8766198754310608,LGLFFNDHMLKUMI-UHFFFAOYSA-N,JOWXJLIFIIOYMS-UHFFFAOYSA-N,34,Cell cycle/mitosis:3; DNA damage/repair:1; Epigenetic/chromatin:1; Nuclear receptor/xenobiotic:1,DDX56;CHN2;PRPF8;REV3L;ARHGEF26;TRRAP;NFKBIE;MDM2;TFDP2;MED14;CCNA1;E2F5;SOCS6;CDC25A;FBXO5;BRCA2;MED13;TFDP1;UBTF;POLQ,crystal-violet -> CUDC-907,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
octenidine,membrane integrity inhibitor,EVP4593,NFkB pathway inhibitor,1,0.34599608182907104,0.10447761416435242,0.6145532131195068,ZVXNYZWXUADSRV-UHFFFAOYSA-N,IBAKVEUZKHOWNG-UHFFFAOYSA-N,9,NA,RASL11A;YBX1;AAAS;SOX17;MYBL2;FERMT3;ZNF367;LRAT;SENP3,octenidine -> EVP4593,TRUE,NA,Other annotated program
TG-101209,JAK inhibitor,foretinib,VEGFR inhibitor,1,0.34363824129104614,0.10084033757448196,0.9301108121871948,JVDOKQYTTYUYDV-UHFFFAOYSA-N,CXQHYVUVSFXTMY-UHFFFAOYSA-N,37,Cell cycle/mitosis:1; Lipid/transport state:1; MAPK/RTK:1; Nuclear receptor/xenobiotic:1,CHN2;RUNX3;SYT11;REV3L;MED14;TAGAP;RUNX2;MDM2;POLQ;RUNX1;SOCS6;SOCS2;SYT12;WRN;PI4KA;SOCS3;KMT2C;STAG1;NSD1;AFF3,TG-101209 -> foretinib,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
M-344,HDAC inhibitor,JNJ-26481585,HDAC inhibitor,1,0.34311434626579285,0.15000000596046448,0.848807156085968,MXWDSZWTBOCWBK-UHFFFAOYSA-N,PAWIYAYFNXQGAP-UHFFFAOYSA-N,25,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:1; Proteostasis:1,SOCS6;ARHGEF26;FBXO5;PRPF8;EPHA4;TRRAP;HOXA2;PSMB6;NGEF;BLK;CHN2;MDM2;ARAP3;CSK;FARP2;SRC;CCNA1;LYN;PRDM2;REV3L,M-344 -> JNJ-26481585,TRUE,Nuclear receptor/xenobiotic,Other annotated program
torin-2,mTOR inhibitor,GSK2126458,"mTOR inhibitor, PI3K inhibitor",1,0.3414232134819031,0.18367347121238708,0.8934470415115356,GUXXEUUYCAYESJ-UHFFFAOYSA-N,CGBJSGAELGCMKE-UHFFFAOYSA-N,32,Cell cycle/mitosis:4; DNA damage/repair:2; Microtubule:1; Nuclear receptor/xenobiotic:1,CHN2;CDC25A;TAGAP;REV3L;PRPF8;CISH;POLQ;CDC42EP3;CDC25C;CSNK1D;AFF3;DDX56;CTNNB1;E2F4;PIK3R3;WWTR1;SOCS3;RACGAP1;PHACTR1;PPP1R3A,torin-2 -> GSK2126458,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
CYC116,Aurora kinase inhibitor,PI-103,"mTOR inhibitor, PI3K inhibitor",1,0.3406980037689209,0.1764705926179886,0.9178300499916076,GPSZYOIFQZPWEJ-UHFFFAOYSA-N,TUVCWJQQGGETHL-UHFFFAOYSA-N,37,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1,AFF1;REV3L;AFF3;RUNX3;SOCS3;RUNX2;CHN2;MED14;RUNX1;CISH;PI4KA;WRN;CDC25A;POLQ;DDX56;WWTR1;VGLL4;MED15;EP300;ZFP36,CYC116 -> PI-103,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
