method,query_idx,retrieved_idx,pair_a,pair_b,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20
CGP-Align,303,557,303,557,2,0.920296847820282,0.3228424787521362,50,37,0.5873015873015873,1.0417436633733313e-77,76.9822391325509,4,4,Cell cycle/mitosis:1; MAPK/RTK:1; Nuclear receptor/xenobiotic:1; PI3K/AKT/mTOR:1,PD-173074,NVP-BSK805,"FGFR inhibitor, VEGFR inhibitor",JAK inhibitor,"FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB",JAK2,FGFR2,,CHN2;REV3L;POLQ;WRN;SYT11;PCNA;CDC25A;AFF3;SOCS6;RUNX2;RUNX3;SOCS2;CISH;TRRAP;FBXO5;MDM2;DDX56;PIK3R3;SYT4;PI4KA
CGP-Align,436,787,436,787,4,0.8765375018119812,0.3058686852455139,50,37,0.5873015873015873,1.0417436633733313e-77,76.9822391325509,5,3,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1,CYC116,AVL-292,Aurora kinase inhibitor,Bruton's tyrosine kinase (BTK) inhibitor,"AURKA, AURKB, KDR","BTK, YES1",,,MED14;SOCS3;REV3L;RUNX3;RUNX2;SOCS2;CISH;RUNX1;CHN2;SYT11;PI4KA;DDX56;WRN;SYT12;AFF3;AFF1;POLQ;KMT2C;NCOA6;CDC25A
CGP-Align,51,232,51,232,2,0.9138408899307252,0.5623013973236084,50,36,0.5625,1.4510930437421621e-74,73.83830473981017,3,3,Cell cycle/mitosis:1; Lipid/transport state:1; MAPK/RTK:1,WZ-3146,foretinib,EGFR inhibitor,VEGFR inhibitor,EGFR,"FLT1, FLT4, KDR, MET",,,CHN2;RUNX3;REV3L;SYT11;POLQ;MED14;MDM2;RUNX2;SOCS6;SOCS2;RUNX1;TAGAP;PI4KA;WRN;SOCS3;SYT12;STAG1;CISH;KMT2C;DDX56
CGP-Align,1080,232,232,1080,3,0.922770082950592,0.3977465629577636,50,36,0.5625,1.4510930437421621e-74,73.83830473981017,7,5,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:1; Lipid/transport state:1; MAPK/RTK:1,foretinib,MPI-0479605,VEGFR inhibitor,mitotic kinase inhibitor,"FLT1, FLT4, KDR, MET",TTK,,,CHN2;RUNX3;REV3L;SYT11;POLQ;SOCS2;RUNX2;MED14;DDX56;SYT12;WRN;SOCS3;TAGAP;CISH;MDM2;CDC25A;E2F4;RUNX1;PIK3R3;ARHGEF25
CGP-Align,1401,227,227,1401,3,0.8720649480819702,0.3499983251094818,50,36,0.5625,1.4510930437421621e-74,73.83830473981017,6,3,Cell cycle/mitosis:2; DNA damage/repair:2; PI3K/AKT/mTOR:2,buparlisib,PI-103,PI3K inhibitor,"mTOR inhibitor, PI3K inhibitor","PIK3CA, PIK3CG","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC",MTOR,MTOR,AFF3;RUNX3;REV3L;PI4KA;CISH;SOCS3;AFF1;RUNX2;SOCS2;MED14;CDC25A;WRN;CHN2;RUNX1;SOCS6;DDX56;BRCA2;MED13;GRB7;SYT11
CGP-Align,762,1527,762,1527,2,0.9242103695869446,0.3108670115470886,50,36,0.5625,1.4510930437421621e-74,73.83830473981017,3,2,Cell cycle/mitosis:2; PI3K/AKT/mTOR:1,OSI-420,TWS-119,EGFR inhibitor,glycogen synthase kinase inhibitor,EGFR,"GSK3B, JUN, MYC",,,RUNX3;RUNX2;MED14;RUNX1;WRN;REV3L;SOCS2;SOCS3;CHN2;AFF3;MDM2;POLQ;CISH;SYT11;PI4KA;AFF1;DDX56;PAGE1;ACVR1;CRKL
CGP-Align,1080,1539,1080,1539,2,0.9376790523529052,0.3083471655845642,50,36,0.5625,1.4510930437421621e-74,73.83830473981017,6,4,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1; PI3K/AKT/mTOR:1,MPI-0479605,CNX-774,mitotic kinase inhibitor,Bruton's tyrosine kinase (BTK) inhibitor,TTK,BTK,,,CHN2;REV3L;DDX56;SOCS2;SOCS3;CISH;MED14;SYT11;RUNX3;POLQ;CDC25A;WRN;RUNX2;SYT12;PIK3R3;TRRAP;E2F4;AFF3;TAGAP;STAG1
CGP-Align,1238,387,387,1238,1,0.913250744342804,0.5678496956825256,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,3,2,Cell cycle/mitosis:2; Epigenetic/chromatin:1,tozasertib,barasertib-HQPA,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",Aurora kinase inhibitor,"AURKA, AURKB, AURKC, LCK",AURKB,,,PI4KA;WRN;CHN2;REV3L;SYT11;HS1BP3;SOCS6;SOCS2;MDM2;AFF3;FBXO5;RUNX2;SYT4;RUNX3;NSD1;MED14;POLQ;GRB7;TRIP10;TRRAP
CGP-Align,51,309,51,309,4,0.9034305810928344,0.4557032585144043,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,2,2,Cell cycle/mitosis:1; MAPK/RTK:1,WZ-3146,crenolanib,EGFR inhibitor,PDGFR tyrosine kinase receptor inhibitor,EGFR,"CSF1R, FLT3, KIT, PDGFRA, PDGFRB",,,CHN2;REV3L;SOCS2;SYT11;SOCS6;RUNX3;MED14;MDM2;PI4KA;POLQ;WRN;FBXO5;DDX56;CISH;TRRAP;PRPF8;RUNX2;STAG1;AFF3;UBTF
CGP-Align,116,1486,116,1486,3,0.9236122369766236,0.3865062892436981,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,7,5,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1; MAPK/RTK:1,MK-1775,NVP-TAE226,WEE1 kinase inhibitor,protein tyrosine kinase inhibitor,WEE1,PTK2,WEE1,,CHN2;RUNX3;AFF3;REV3L;MED14;SYT11;WRN;RUNX2;PI4KA;SOCS2;RUNX1;SOCS6;TAGAP;CISH;POLQ;MDM2;DDX56;PIK3R3;CDC25A;AFF1
CGP-Align,0,94,0,94,5,0.9015339612960817,0.3647175431251526,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,5,4,Cell cycle/mitosis:2; DNA damage/repair:1; Lipid/transport state:1; PI3K/AKT/mTOR:1,erlotinib,taselisib,EGFR inhibitor,PI3K inhibitor,"EGFR, NR1I2",PIK3CA,,,DDX56;WRN;RUNX3;CHN2;MED14;RUNX2;SOCS2;RUNX1;PIK3R3;CISH;POLQ;SOCS3;PAGE1;SYT11;MDM2;AFF3;REV3L;E2F4;NEIL1;TRRAP
CGP-Align,436,1539,436,1539,5,0.8682467937469482,0.3492793142795563,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,5,3,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1,CYC116,CNX-774,Aurora kinase inhibitor,Bruton's tyrosine kinase (BTK) inhibitor,"AURKA, AURKB, KDR",BTK,,,REV3L;SOCS3;CHN2;RUNX3;RUNX2;MED14;CISH;SOCS2;DDX56;WRN;POLQ;RUNX1;PI4KA;SYT11;AFF3;CDC25A;KMT2C;SYT12;NCOA6;TRRAP
CGP-Align,976,787,787,976,2,0.8976179361343384,0.3490830957889557,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,6,3,Cell cycle/mitosis:3; PI3K/AKT/mTOR:2; Nuclear receptor/xenobiotic:1,AVL-292,R406,Bruton's tyrosine kinase (BTK) inhibitor,SYK inhibitor,"BTK, YES1","RET, SYK",,,MED14;CHN2;SYT11;RUNX3;SOCS2;RUNX1;SOCS3;RUNX2;SYT12;CISH;DDX56;TAGAP;REV3L;AFF3;PI4KA;PIK3R3;WRN;CCNT1;MDM2;PAGE1
CGP-Align,336,436,336,436,2,0.8599433302879333,0.3325923979282379,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,3,3,Cell cycle/mitosis:1; DNA damage/repair:1; PI3K/AKT/mTOR:1,AZD2858,CYC116,glycogen synthase kinase inhibitor,Aurora kinase inhibitor,GSK3B,"AURKA, AURKB, KDR",,,REV3L;RUNX3;CHN2;RUNX2;SOCS3;AFF1;WRN;MED14;SYT11;SYT12;POLQ;WWTR1;RUNX1;AFF3;CISH;MDM2;KMT2C;SOCS2;CDC25A;VGLL4
CGP-Align,1196,1486,1196,1486,3,0.905955135822296,0.3321790695190429,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,7,5,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1; MAPK/RTK:1,WYE-125132,NVP-TAE226,mTOR inhibitor,protein tyrosine kinase inhibitor,MTOR,PTK2,MTOR,MTOR,CHN2;RUNX3;DDX56;CISH;SOCS3;REV3L;RUNX2;AFF3;MED14;WRN;TAGAP;RUNX1;POLQ;SYT11;PIK3R3;TRRAP;CDC25A;PI4KA;CCNT1;WWTR1
CGP-Align,436,976,436,976,3,0.8884925842285156,0.3101119697093963,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,4,2,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2,CYC116,R406,Aurora kinase inhibitor,SYK inhibitor,"AURKA, AURKB, KDR","RET, SYK",,,MED14;CHN2;RUNX3;RUNX2;RUNX1;REV3L;AFF1;SOCS3;AFF3;SYT12;SYT11;PIK3R3;WRN;DDX56;SOCS2;TAGAP;CCNT1;CISH;KMT2C;WWTR1
CGP-Align,227,528,227,528,4,0.8834869265556335,0.3074606955051422,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,5,3,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1,buparlisib,rociletinib,PI3K inhibitor,EGFR inhibitor,"PIK3CA, PIK3CG",EGFR,,,SOCS2;RUNX3;CISH;REV3L;PI4KA;SYT11;AFF3;RUNX2;MED14;SOCS3;CHN2;WRN;SOCS6;DDX56;RUNX1;TRRAP;MDM2;CDC25A;BRCA2;POLQ
CGP-Align,1080,1323,1080,1323,10,0.8886828422546387,0.3064411282539367,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,7,5,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1; MAPK/RTK:1,MPI-0479605,PHA-848125,mitotic kinase inhibitor,"CDK inhibitor, growth factor receptor inhibitor",TTK,"CDK2, CDK4, CDK7, NTRK1",,,CHN2;REV3L;WRN;SOCS2;SYT11;POLQ;DDX56;MED14;CDC25A;RUNX3;PIK3R3;CISH;RUNX2;SOCS3;MDM2;AFF3;SYT12;ARHGEF16;BRCA2;TRRAP
CGP-Align,1763,1220,1220,1763,8,0.8644766807556152,0.5084212422370911,50,34,0.5151515151515151,1.7276785145474666e-68,67.76253706761372,4,4,Cell cycle/mitosis:1; Epigenetic/chromatin:1; Lipid/transport state:1; PI3K/AKT/mTOR:1,GSK1070916,AZ3146,Aurora kinase inhibitor,monopolar spindle 1 kinase inhibitor,"AURKA, AURKB, AURKC, CYP2D6, CYP3A4",,,,CHN2;REV3L;POLQ;CDC25A;AFF3;RUNX3;SOCS2;SYT11;WRN;RUNX2;FBXO5;CISH;PI4KA;AFF1;SOCS6;DDX56;PCNA;PRPF8;KMT2C;EHMT1
CGP-Align,35,232,35,232,9,0.8920108675956726,0.4058795571327209,50,34,0.5151515151515151,1.7276785145474666e-68,67.76253706761372,5,2,Nuclear receptor/xenobiotic:4; Cell cycle/mitosis:1,aurora-a-inhibitor-i,foretinib,Aurora kinase inhibitor,VEGFR inhibitor,AURKA,"FLT1, FLT4, KDR, MET",,,CHN2;SYT11;TAGAP;RUNX3;MDM2;REV3L;POLQ;MED14;SYT12;RUNX1;RUNX2;SOCS6;PI4KA;SOCS3;WRN;SYT4;SOCS2;EHMT1;KMT2C;STAG1
